item_number,description,fee
45061,"Developmental breast abnormality, 2 stage correction of, first stage, involving surgery on both breasts with a combination of insertion of one or more tissue expanders, mastopexy or reduction mammaplasty, if: (a) there is a difference in breast volume, as demonstrated by an appropriate volumetric measurement technique, of at least: (i) 20% in normally shaped breasts; or (ii) 10% in tubular breasts or in breasts with abnormally high inframammary folds; and (b) photographic and/or diagnostic imaging evidence demonstrating the clinical need for this service is documented in the patient notes. Applicable only once per occasion on which the service is provided (Anaes.) (Assist.)",1521.60
45062,"Developmental breast abnormality, 2 stage correction of, second stage, involving surgery on both breasts with a combination of exchange of one or more tissue expanders for one or more implants (which must have at least a 10% volume difference), mastopexy or reduction mammaplasty, if: (a) there is a difference in breast volume, as demonstrated by an appropriate volumetric measurement technique, of at least: (i) 20% in normally shaped breasts; or (ii) 10% in tubular breasts or in breasts with abnormally high inframammary folds; and (b) photographic and/or diagnostic imaging evidence demonstrating the clinical need for this service is documented in the patient notes. Applicable only once per occasion on which the service is provided (Anaes.) (Assist.)",1101.10
45070,"Developmental breast abnormality, single stage correction of, involving surgery on one breast, if: (a) the correction involves either: (i) insertion of an implant with or without mastopexy; or(ii) reduction mammaplasty; and (b) there is a difference in breast volume with the other breast, as demonstrated by an appropriate volumetric measurement technique, of at least: (i) 20% in normally shaped breasts; or(ii) 10% in tubular breasts or in breasts with abnormally high inframammary folds; and (c) photographic or diagnostic imaging evidence demonstrating the clinical need for this service is documented in the patient notes Applicable only once per occasion on which the service is provided (H) (Anaes.) (Assist.)",1014.40
45071,"Developmental breast abnormality, 2 stage correction of, first stage, involving surgery on one breast with insertion of a tissue expander, if: (a) there is a difference in breast volume with the other breast, as demonstrated by an appropriate volumetric measurement technique, of at least: (i) 20% in normally shaped breasts; or(ii) 10% in tubular breasts or in breasts with abnormally high inframammary folds; and (b) photographic or diagnostic imaging evidence demonstrating the clinical need for this service is documented in the patient notes Applicable only once per occasion on which the service is provided (H) (Anaes.) (Assist.)",1014.40
45072,"Developmental breast abnormality, 2 stage correction of, second stage, involving surgery on one breast with exchange of a tissue expander for an implant (which must have at least a 10% volume difference), if: (a) there is a difference in breast volume with the other breast, as demonstrated by an appropriate volumetric measurement technique, of at least: (i) 20% in normally shaped breasts; or(ii) 10% in tubular breasts or in breasts with abnormally high inframammary folds; and (b) photographic or diagnostic imaging evidence demonstrating the clinical need for this service is documented in the patient notes Applicable only once per occasion on which the service is provided (H) (Anaes.) (Assist.)",734.05
45200,"Single stage local flap, if indicated to repair one defect, simple and small, excluding flap for male pattern baldness and excluding H-flap or double advancement flap not in association with any of items 31356 to 31383 (Anaes.)",340.30
45201,"Muscle, myocutaneous or skin flap, where clinically indicated to repair one surgical excision made in the removal of a malignant or non-malignant skin lesion (only in association with items 31000, 31001, 31002, 31003, 31004, 31005, 31358, 31359, 31360, 31363, 31364, 31369, 31370, 31371, 31373, 31376, 31378, 31380 or 31383)-may be claimed only once per defect (Anaes.)",495.40
45202,"Muscle, myocutaneous or skin flap, where clinically indicated to repair one surgical excision made in the removal of a malignant or non-malignant skin lesion in a patient, if the clinical relevance of the procedure is clearly annotated in the patient's record and either: (a) item 45201 applies and additional flap repair is required for the same defect; or (b) item 45201 does not apply and either: (i) the patient has severe pre-existing scarring, severe skin atrophy or sclerodermoid changes; or (ii) the repair is contiguous with a free margin (Anaes.)",495.40
45203,"Single stage local flap, if indicated to repair one defect, complicated or large, excluding flap for male pattern baldness and excluding H-flap or double advancement flap not in association with any of items 31356 to 31383 (Anaes.) (Assist.)",485.95
45206,"Single stage local flap if indicated to repair one defect, on eyelid, nose, lip, ear, neck, hand, thumb, finger or genitals and excluding H-flap or double advancement flap not in association with any of items 31356 to 31383 (Anaes.)",459.15
45207,"H-flap or double advancement flap if indicated to repair one defect, on eyelid, eyebrow or forehead not in association with any of items 31356 to 31383 (Anaes.)",459.15
45209,"Pedicled flap repair (forehead, cross arm, cross leg, abdominal or similar), first stage of a multistage procedure (H) (Anaes.) (Assist.)",567.05
45212,"Pedicled flap repair (forehead, cross arm, cross leg, abdominal or similar), subsequent stage of a multistage procedure (H) (Anaes.) (Assist.)",281.40
45221,"DIRECT FLAP REPAIR, small (cross finger or similar), first stage (Anaes.)",313.15
45224,"DIRECT FLAP REPAIR, small (cross finger or similar), second stage (Anaes.)",140.70
45227,"Indirect flap or tubed pedicle, formation of (H) (Anaes.) (Assist.)",533.15
45230,"DIRECT OR INDIRECT FLAP OR TUBED PEDICLE, delay of (Anaes.)",266.60
45233,"Indirect flap or tubed pedicle, preparation of intermediate or final site and attachment to the site (H) (Anaes.) (Assist.)",567.05
45239,"Direct, indirect, free or local flap, revision of, by incision and suture and/or liposuction, applicable once per flap, not being a service associated with a service to which item 45497 applies (Anaes.)",313.15
45440,Split thickness skin graft to a small defect that is:(a) less than 40 mm in diameter: (i) on areas below the knee; or(ii) distal to the ulnar styloid; or(iii) on the genital area; or(iv) on areas above the clavicle; or (b) less than 80 mm in diameter on any other part of the body (Anaes.) (Assist.),340.30
45443,Split thickness skin graft to a large defect that is:(a) 40 mm or more in diameter: (i) on areas below the knee; or(ii) distal to the ulnar styloid; or(iii) on the genital area; or(iv) on areas above the clavicle; or (b) 80 mm or more in diameter on any other part of the body (Anaes.) (Assist.),702.00
45451,"Full thickness skin graft to one defect, with an average diameter of 5 mm or more (Anaes.) (Assist.)",567.05
45496,"FLAP, free tissue transfer using microvascular techniques - revision of, by open operation (Anaes.)",498.05
45497,"Flap, free tissue transfer using microvascular techniques or any autologous breast reconstruction, revision of, by liposuction, other than a service associated with a service to which item 45239 applies (H) (Anaes.)",379.40
45500,"Microvascular repair using microsurgical techniques, with restoration of continuity of artery or vein of distal extremity or digit; cannot be claimed by the same provider for both artery and vein (H) (Anaes.) (Assist.)",1304.95
45501,"Microvascular anastomosis of artery or vein using microsurgical techniques, for replantation or revascularisation of limb or digit, if the limb or digit is devitalised and the repair is critical for restoration of blood supply, other than a service associated with a service to which item 45564, 45565, 45567, 46060, 46062, 46064, 46066, 46068, 46070 or 46072 applies (H) (Anaes.) (Assist.)",2124.10
45502,"Microvascular anastomoses of artery and vein using microsurgical techniques, for replantation or revascularisation of limb or digit, if the limb or digit is devitalised and the repair is critical for restoration of blood supply, including anastomoses of all required vessels for that extremity or digit, unless a micro-arterial or micro-venous graft is being used, other than a service associated with a service to which item 45564, 45565, 45567, 46060, 46062, 46064, 46066, 46068, 46070 or 46072 applies (H) (Anaes.) (Assist.)",3186.20
45503,"Micro-arterial or micro-venous graft using microsurgical techniques, if the graft is critical for restoration of blood supply, including harvest of graft and suturing of all related anastomoses (not to be claimed in the context of cardiac surgery) (H) (Anaes.) (Assist.)",2430.10
45504,"Microvascular anastomosis of artery, vein or veins, using microsurgical techniques, for free transfer of tissue, including setting in of free flap, other than:(a) a service for the purpose of breast reconstruction; or(b) a service associated with a service to which item 45564, 45565, 45567, 46060, 46062, 46064, 46066, 46068, 46070 or 46072 applies(H) (Anaes.) (Assist.)",2124.10
45505,"Microvascular anastomoses of artery and vein or veins, using microsurgical techniques, for free transfer of tissue, including setting in of free flap, other than:(a) a service for the purpose of breast reconstruction; or(b) a service associated with a service to which item 45564, 45565, 45567, 46060, 46062, 46064, 46066, 46068, 46070 or 46072 applies(H) (Anaes.) (Assist.)",3216.75
45507,"Microvascular repair using microsurgical techniques, with restoration of continuity of artery and vein of distal extremity or digit, including anastomoses of all required vessels for that extremity or digit, other than a service associated with a service to which item 45564, 45565 or 45567 applies (H) (Anaes.) (Assist.)",1957.50
45510,"Scar, of face or neck, not more than 3 cm in length, revision of, if:(a) undertaken in the operating theatre of a hospital; or(b) performed by a specialist in the practice of the specialist’s specialty (Anaes.)",263.15
45512,"SCAR, of face or neck, more than 3 cm in length, revision of, where undertaken in the operating theatre of a hospital, or where performed by a specialist in the practice of his or her specialty (Anaes.)",353.90
45515,"Scar, other than on face or neck, not more than 7 cm in length, revision of, if:(a) the service is:(i) undertaken in the operating theatre of a hospital; or(ii) performed by a specialist in the practice of the specialist’s specialty; and(b) the service is not performed in conjunction with the insertion of breast implants for cosmetic purposes; and(c) the incision made for revision of the scar is not used as an approach for another procedure (including a non rebatable procedure); and(d) sufficient photographic evidence demonstrating the clinical need for the service is included in patient notes (Anaes.)",223.25
45518,"Scar, other than on face or neck, more than 7 cm in length, revision of, if: (a) the service is: (i) undertaken in the operating theatre of a hospital; or (ii) performed by a specialist in the practice of the specialist’s specialty; and (b) the service is not performed in conjunction with the insertion of breast implants for cosmetic purposes; and (c) the incision made for revision of the scar is not used as an approach for another procedure (including a non‑rebatable procedure); and (d) sufficient photographic evidence demonstrating the clinical need for the service is included in patient notes (H) (Anaes.)",270.15
45520,"Reduction mammaplasty (unilateral) with surgical repositioning of nipple, in the context of breast cancer or developmental abnormality of the breast, other than a service associated with a service to which item 31512, 31513 or 31514 applies on the same side (H) (Anaes.) (Assist.)",1077.70
45522,"Reduction mammaplasty (unilateral) without surgical repositioning of the nipple:(a) excluding the treatment of gynaecomastia; and(b) not with insertion of any prosthesis;other than a service associated with a service to which item 31512, 31513 or 31514 applies on the same side (H) (Anaes.) (Assist.)",756.10
45523,"Reduction mammaplasty (bilateral) with surgical repositioning of the nipple:(a) for patients with macromastia who are experiencing pain in the neck or shoulder region; and(b) not with insertion of any prosthesis;other than a service associated with a service to which item 31512, 31513 or 31514 applies (H) (Anaes.) (Assist.)",1616.70
45524,"Mammaplasty, augmentation (unilateral) in the context of: (a) breast cancer; or (b) developmental abnormality of the breast, if there is a difference in breast volume, as demonstrated by an appropriate volumetric measurement technique, of at least: (i) 20% in normally shaped breasts; or (ii) 10% in tubular breasts or in breasts with abnormally high inframammary folds. Applicable only once per occasion on which the service is provided, other than a service associated with a service to which item 45006 or 45012 applies (H) (Anaes.) (Assist.)",887.70
45527,"Breast reconstruction (unilateral), following mastectomy, using a permanent prosthesis, other than a service associated with a service to which item 45006 or 45012 applies (H) (Anaes.) (Assist.)",1282.15
45528,"Mammaplasty, augmentation, bilateral (other than a service to which item 45527 applies), if: (a) reconstructive surgery is indicated because of: (i) developmental malformation of breast tissue (excluding hypomastia); or (ii) disease of or trauma to the breast (other than trauma resulting from previous elective cosmetic surgery); or (iii) amastia secondary to a congenital endocrine disorder; and (b) photographic or diagnostic imaging evidence demonstrating the clinical need for this service is documented in the patient notes other than a service associated with a service to which item 45006 or 45012 applies (H) (Anaes.) (Assist.)",1331.35
45529,"Breast reconstruction (bilateral), following mastectomy, using permanent prostheses, other than a service associated with a service to which item 45006 or 45012 applies (H) (Anaes.) (Assist.)",2243.65
45530,"Post-mastectomy breast reconstruction, autologous (unilateral), using a large muscle or myocutaneous flap, isolated on its vascular pedicle, excluding repair of muscular aponeurotic layer, other than a service associated with a service to which item 30166, 30169, 30175, 30176, 30177, 30179, 45006 or 45012 applies (H) (Anaes.) (Assist.)",1315.85
45531,"Post-mastectomy breast reconstruction, autologous (bilateral), using a large muscle or myocutaneous flap, isolated on its vascular pedicle, excluding repair of muscular aponeurotic layer, other than a service associated with a service to which item 30166, 30169, 30175, 30176, 30177, 30179, 45006 or 45012 applies (H) (Anaes.) (Assist.)",2302.75
45532,"Revision of post-mastectomy breast reconstruction, other than a service associated with a service to which item 45006 or 45012 applies (H) (Anaes.) (Assist.)",324.20
45534,"Autologous fat grafting, unilateral service (harvesting, preparation and injection of adipocytes) if: (a) the autologous fat grafting is for one or more of the following purposes: (i) the correction of defects arising from treatment and prevention of breast cancer in patients with contour defects, greater than or equal to 20% volume asymmetry, post‑treatment pain or poor prosthetic coverage; (ii) the preparation of post mastectomy thin or irradiated skin flaps in patients intending to have breast reconstruction; (iii) breast reconstruction in breast cancer patients; (iv) the correction of developmental disorders of the breast; and (b) photographic and/or diagnostic imaging evidence demonstrating the clinical need for this service is documented in the patient notes Up to a total of 4 services per side (for total treatment of a single breast), other than a service associated with a service to which item 45006 or 45012 applies (H) (Anaes.)",756.10
45535,"Autologous fat grafting, bilateral service (harvesting, preparation and injection of adipocytes) if: (a) the autologous fat grafting is for one or more of the following purposes: (i) the correction of defects arising from treatment and prevention of breast cancer in patients with contour defects, greater than or equal to 20% volume asymmetry, post‑treatment pain or poor prosthetic coverage; (ii) the preparation of post mastectomy thin or irradiated skin flaps in patients intending to have breast reconstruction; (iii) breast reconstruction in breast cancer patients; (iv) the correction of developmental disorders of the breast; and (b) photographic and/or diagnostic imaging evidence demonstrating the clinical need for this service is documented in the patient notes Up to a total of 4 services, other than a service associated with a service to which item 45006 or 45012 applies (H) (Anaes.)",1323.35
45537,"Perforator flap, such as a thoracodorsal artery perforator (TDAP) flap or a lateral intercostal artery perforator (LICAP) flap, or similar, raising on a named source vessel, for reconstruction of a partial mastectomy defect, other than a service associated with a service to which item 45006 or 45012 applies (H) (Anaes.) (Assist.)",941.45
45538,"Perforator flap, such as a deep inferior epigastric perforator (DIEP) flap or similar, raising in preparation for microsurgical transfer of a free flap for post mastectomy breast reconstruction, other than a service associated with a service to which item 45006 or 45012 applies (H) (Anaes.) (Assist.)",1077.20
45539,"Breast reconstruction (unilateral), following mastectomy, using tissue expansion—insertion of tissue expansion unit and all attendances for subsequent expansion injections, other than a service associated with a service to which item 45006 or 45012 applies (H) (Anaes.) (Assist.)",1726.00
45540,"Breast reconstruction (bilateral), following mastectomy, using tissue expansion—insertion of tissue expansion unit and all attendances for subsequent expansion injections, other than a service associated with a service to which item 45006 or 45012 applies (H) (Anaes.) (Assist.)",3020.35
45541,"Breast reconstruction (bilateral), following mastectomy, using tissue expansion—removal of tissue expansion unit and insertion of permanent prosthesis, other than a service associated with a service to which item 45006 or 45012 applies (H) (Anaes.) (Assist.)",1284.80
45542,"Breast reconstruction (unilateral), following mastectomy, using tissue expansion—removal of tissue expansion unit and insertion of permanent prosthesis, other than a service associated with a service to which item 45006 or 45012 applies (H) (Anaes.) (Assist.)",734.15
45545,"Nipple or areola or both, reconstruction of, by any surgical technique (Anaes.) (Assist.)",745.15
45546,"NIPPLE OR AREOLA or both, intradermal colouration of, following breast reconstruction after mastectomy or for congenital absence of nipple",236.80
45547,"Revision of breast prosthesis pocket, if:(a) breast prosthesis or tissue expander has been placed for the purpose of breast reconstruction in the context of breast cancer or for developmental breast abnormality; and(b) the prosthesis or tissue expander has migrated or rotated from its intended position or orientation; and(c) the existing prosthesis is used(H) (Anaes.) (Assist.)",837.15
45548,"Breast prosthesis, removal of, as an independent procedure (H) (Anaes.)",331.25
45551,"Breast prosthesis, removal of, with excision of at least half of the fibrous capsule, not with insertion of any prosthesis. The excised specimen must be sent for histopathology and the volume removed must be documented in the histopathology report (Anaes.) (Assist.)",531.10
45553,"Breast prosthesis, removal of and replacement with another prosthesis, following medical complications (for rupture, migration of prosthetic material or symptomatic capsular contracture), if: (a) either: (i) it is demonstrated by intra-operative photographs post-removal that removal alone would cause unacceptable deformity; or (ii) the original implant was inserted in the context of breast cancer or developmental abnormality; and (b) photographic and/or diagnostic imaging evidence demonstrating the clinical need for this service is documented in the patient notes (Anaes.) (Assist.)",684.15
45554,"Breast prosthesis, removal and replacement with another prosthesis, following medical complications (for rupture, migration of prosthetic material or symptomatic capsular contracture), including excision of at least half of the fibrous capsule or formation of a new pocket, or both, if: (a) either: (i) it is demonstrated by intra-operative photographs post-removal that removal alone would cause unacceptable deformity; or (ii) the original implant was inserted in the context of breast cancer or developmental abnormality; and (b) the excised specimen is sent for histopathology and the volume removed is documented in the histopathology report; and (c) photographic and/or diagnostic imaging evidence demonstrating the clinical need for this service is documented in the patient notes (Anaes.) (Assist.)",837.15
45556,"Breast ptosis, correction of (unilateral), in the context of breast cancer or developmental abnormality, if photographic evidence (including anterior, left lateral and right lateral views) and/or diagnostic imaging evidence demonstrating the clinical need for this service is documented in the patient notes Applicable only once per occasion on which the service is provided, other than a service associated with a service to which item 31512, 31513 or 31514 applies on the same side (H) (Anaes.) (Assist.)",916.85
45558,"Correction of bilateral breast ptosis by mastopexy, if: (a) at least two‑thirds of the breast tissue, including the nipple, lies inferior to the inframammary fold where the nipple is located at the most dependent, inferior part of the breast contour; and (b) photographic evidence (including anterior, left lateral and right lateral views), with a marker at the level of the inframammary fold, demonstrating the clinical need for this service, is documented in the patient notes Applicable only once per lifetime, other than a service associated with a service to which item 31512, 31513 or 31514 applies (H) (Anaes.) (Assist.)",1375.20
45560,"HAIR TRANSPLANTATION for the treatment of alopecia of congenital or traumatic origin or due to disease, excluding male pattern baldness, not being a service to which another item in this Group applies (Anaes.)",566.95
45561,"Microvascular anastomosis of artery and/or vein, if considered necessary to salvage a vascularly compromised pedicled or free flap, either during the primary procedure or at a subsequent return to theatre (H) (Anaes.) (Assist.)",2124.10
45562,"Free transfer of tissue (microvascular free flap) for non-breast defect involving raising of tissue on vascular pedicle, including direct repair of secondary cutaneous defect (if performed), other than a service associated with a service to which item 45564, 45565, 45567, 46060, 46062, 46064, 46066, 46068, 46070 or 46072 applies (H) (Anaes.) (Assist.)",1315.85
45563,"Neurovascular island flap for restoration of essential sensation in the digits or sole of the foot, or for genital reconstruction, including:(a) direct repair of secondary cutaneous defect (if performed); and(b) formal dissection of the neurovascular pedicle;other than a service performed on simple V-Y flaps or other standard flaps, such as rotation or keystone (H) (Anaes.) (Assist.)",1315.85
45564,"Free transfer of tissue (reconstructive surgery) for the repair of major tissue defect of the head and neck or other non-breast defect, using microvascular techniques, all necessary elements of the operation including (but not limited to):(a) anastomoses of all required vessels; and(b) raising of tissue on a vascular pedicle; and(c) preparation of recipient vessels; and(d) transfer of tissue; and(e) insetting of tissue at recipient site; and(f) direct repair of secondary cutaneous defect, if performed;other than a service associated with a service to which item 30166, 30169, 30175, 30176, 30177, 30179, 45501, 45502, 45504, 45505, 45507, 45562 or 45567 applies—conjoint surgery, principal specialist surgeon (H) (Anaes.) (Assist.)",3047.70
45565,"Free transfer of tissue (reconstructive surgery) for the repair of major tissue defect of the head and neck or other non-breast defect, using microvascular techniques, all necessary elements of the operation including (but not limited to):(a) anastomoses of all required vessels; and(b) raising of tissue on a vascular pedicle; and(c) preparation of recipient vessels; and(d) transfer of tissue; and(e) insetting of tissue at recipient site; and(f) direct repair of secondary cutaneous defect, if performed;other than a service associated with a service to which item 30166, 30169, 30175, 30176, 30177, 30179, 45501, 45502, 45504, 45505, 45507, 45562 or 45567 applies—conjoint surgery, conjoint specialist surgeon (H) (Anaes.) (Assist.)",2285.90
45566,"Insertion of a temporary prosthetic tissue expander which requires subsequent removal, including all attendances for subsequent expansion injections, other than a service for breast or post-mastectomy tissue expansion (H) (Anaes.) (Assist.)",1282.15
45567,"Free transfer of tissue (reconstructive surgery) for the repair of major tissue defect of the head and neck or other non-breast defect, using microvascular techniques, all necessary elements of the operation including (but not limited to):(a) anastomoses of all required vessels; and(b) raising of tissue on a vascular pedicle; and(c) preparation of recipient vessels; and(d) transfer of tissue; and(e) insetting of tissue at recipient site; and(f) direct repair of secondary cutaneous defect, if performed;other than a service associated with a service to which item 30166, 30169, 30175, 30176, 30177, 30179, 45501, 45502, 45504, 45505, 45507, 45562, 45564 or 45565 applies—single surgeon (H) (Anaes.) (Assist.)",3515.20
45568,"Tissue expander, removal of, including complete excision of fibrous capsule if performed (H) (Anaes.) (Assist.)",531.10
45571,"Closure of abdomen with reconstruction of umbilicus, with or without lipectomy, to be used following the harvest of an autologous flap, being a service associated with a service to which item 45530, 45531, 45562, 45564, 45565, 45567, 46080, 46082, 46084, 46086, 46088 or 46090 applies, including repair of the musculoaponeurotic layer of the abdomen (including insertion of prosthetic mesh if used) (H) (Anaes.) (Assist.)",1238.75
45572,"Intra-operative tissue expansion using a prosthetic tissue expander, performed under general anaesthetic or intravenous sedation during an operation, if combined with a service to which another item in Group T8 applies (including expansion injections), not to be used for breast tissue expansion (H) (Anaes.)",349.15
45575,"Facial nerve paralysis, free fascia graft for (H) (Anaes.) (Assist.)",862.05
45578,"FACIAL NERVE PARALYSIS, muscle transfer for (Anaes.) (Assist.)",998.30
45581,"Facial nerve paralysis, excision of tissue for (H) (Anaes.)",331.25
45584,"Liposuction (suction assisted lipolysis) to one regional area (one limb or trunk), for treatment of post traumatic pseudolipoma, if photographic and/or diagnostic imaging evidence demonstrating the clinical need for this service is documented in the patient notes (Anaes.)",756.10
45585,"Liposuction (suction assisted lipolysis) to one regional area (one limb or trunk), other than a service associated with a service to which item 31525 or 31526 applies, if: (a) the liposuction is for: (i) the treatment of Barraquer-Simons syndrome, lymphoedema or macrodystrophia lipomatosa; or (ii) the reduction of a buffalo hump that is secondary to an endocrine disorder or pharmacological treatment of a medical condition; and (b) photographic and/or diagnostic imaging evidence demonstrating the clinical need for this service is documented in the patient notes (H) (Anaes.)",756.10
45587,"Meloplasty for correction of facial asymmetry if: (a) the asymmetry is secondary to trauma (including previous surgery), a congenital condition or a medical condition (such as facial nerve palsy); and (b) the meloplasty is limited to one side of the face (Anaes.) (Assist.)",1066.25
45588,"Meloplasty (excluding browlifts and chinlift platysmaplasties), bilateral, if: (a) surgery is indicated to correct a functional impairment due to a congenital condition, disease (excluding post-acne scarring) or trauma (other than trauma resulting from previous elective cosmetic surgery); and (b) photographic and/or diagnostic imaging evidence demonstrating the clinical need for this service is documented in the patient notes (Anaes.) (Assist.)",1599.55
45589,"Autologous fat grafting (harvesting, preparation and injection of adipocytes) if: (a) the autologous fat grafting is for either or both of the following purposes: (i) the correction of asymmetry arising from volume and contour defects in craniofacial disorders—up to a total of 4 services if each service is provided at least 3 months after the previous service; (ii) the treatment of burn scar or associated skin graft in the context of scar contracture, contour deformity or neuropathic pain, for patients who have undergone a minimum of 3 months of topical therapies, including silicone and pressure therapy, with an unsatisfactory or minimal level of improvement—up to a total of 4 services per region of the body (upper or lower limbs, trunk, neck or face) if each service provided per region of the body is provided at least 3 months after the previous such service; and (b) both: (i) photographic and/or diagnostic imaging evidence demonstrating the clinical need for this service is documented in the patient notes; and (ii) for craniofacial disorders, evidence of diagnosis of the qualifying craniofacial disorder is documented in the patient notes (H) (Anaes.)",756.10
45590,"Orbital cavity, reconstruction of wall or floor, with or without bone graft, cartilage graft or foreign implant, other than a service associated with a service to which item 42530 or 45594 applies on the same side (H) (Anaes.) (Assist.)",578.40
45592,"Orbital cavity, reconstruction of wall and floor with bone graft, cartilage graft or foreign implant, other than a service associated with a service to which item 45594 applies on the same side (H) (Anaes.) (Assist.)",1018.75
45594,"Orbital cavity, exploration of wall or floor without bone graft, cartilage graft or foreign implant, other than a service associated with a service to which item 42530, 45590 or 45592 applies on the same side (H) (Anaes.) (Assist.)",477.45
45596,Hemimaxillectomy (H) (Anaes.) (Assist.),1077.70
45597,Total maxillectomy (bilateral) (H) (Anaes.) (Assist.),1442.70
45599,"Mandible, total resection of, other than a service associated with a service to which item 45608 applies (H) (Anaes.) (Assist.)",1121.00
45602,"MANDIBLE, including lower border, OR MAXILLA, sub-total resection of (Anaes.) (Assist.)",837.15
45605,"MANDIBLE OR MAXILLA, segmental resection of, for tumours or cysts (Anaes.) (Assist.)",703.25
45608,"Mandible, segmental mandibular or maxilla reconstruction with bone graft, not being a service associated with a service to which item 45599 applies (H) (Anaes.) (Assist.)",990.20
45609,"Mandible, maxilla or skull base, reconstruction of, using bony free flap, all osteotomies, shaping, inset and fixation by any means, including all necessary 3 dimensional planning, if performed in conjunction with one or more services covered by items 46060 to 46068 (H) (Anaes.) (Assist.)",990.20
45611,"Mandible, condylectomy of (H) (Anaes.) (Assist.)",567.05
45614,"Eyelid, reconstruction of a defect (greater than one quarter of the length of the lid) involving all 3 layers of the eyelid, if unable to be closed by direct suture or wedge excision, including all flaps and grafts that may be required (Anaes.) (Assist.)",998.30
45617,"Upper eyelid, reduction of, if: (a) the reduction is for any of the following: (i) history of a demonstrated visual impairment; (ii) intertriginous inflammation of the eyelid; (iii) herniation of orbital fat in exophthalmos; (iv) facial nerve palsy; (v) post‑traumatic scarring; (vi) the restoration of symmetry of contralateral upper eyelid in respect of one of the conditions mentioned in subparagraphs (i) to (v); and (b) photographic and/or diagnostic imaging evidence demonstrating the clinical need for this service is documented in the patient notes (Anaes.)",281.40
45620,"Lower eyelid, reduction of, if: (a) the reduction is for: (i) herniation of orbital fat in exophthalmos, facial nerve palsy or post-traumatic scarring; or (ii) the restoration of symmetry of the contralateral lower eyelid in respect of one of these conditions; and (b) photographic and/or diagnostic imaging evidence demonstrating the clinical need for this service is documented in the patient notes (Anaes.)",390.25
45623,"Ptosis of upper eyelid (unilateral), correction of, by: (a) sutured elevation of the tarsal plate on the eyelid retractors (Muller’s or levator muscle or levator aponeurosis); or (b) sutured suspension to the brow/frontalis muscle; Not applicable to a service for repair of mechanical ptosis to which item 45617 applies (Anaes.) (Assist.)",865.35
45624,"Ptosis of upper eyelid, correction of, by: (a) sutured elevation of the tarsal plate on the eyelid retractors (Muller’s or levator muscle or levator aponeurosis); or (b) sutured suspension to the brow/frontalis muscle; if a previous ptosis surgery has been performed on that side (Anaes.) (Assist.)",1122.05
45625,"PTOSIS of eyelid, correction of eyelid height by revision of levator sutures within one week of primary repair by levator resection or advancement, performed in the operating theatre of a hospital (Anaes.)",224.55
45626,"Ectropion or entropion, not caused by trachoma, correction of (unilateral) (Anaes.)",390.25
45627,"Ectropion or entropion, caused by trachoma, correction of (unilateral) (Anaes.)",390.25
45629,"Symblepharon, grafting for (H) (Anaes.) (Assist.)",567.05
45632,"Rhinoplasty, partial, involving correction of one or both lateral cartilages, one or both alar cartilages or one or both lateral cartilages and alar cartilages, if: (a) the indication for surgery is: (i) airway obstruction and the patient has a self-reported NOSE Scale score of greater than 45; or (ii) significant acquired, congenital or developmental deformity; and (b) photographic and/or NOSE Scale evidence demonstrating the clinical need for this service is documented in the patient notes (H) (Anaes.)",612.75
45635,"Rhinoplasty, partial, involving correction of bony vault only, if: (a) the indication for surgery is: (i) airway obstruction and the patient has a self‑reported NOSE Scale score of greater than 45; or (ii) significant acquired, congenital or developmental deformity; and (b) photographic and/or NOSE Scale evidence demonstrating the clinical need for this service is documented in the patient notes (H) (Anaes.)",703.25
45641,"Rhinoplasty, total, including correction of all bony and cartilaginous elements of the external nose, with or without autogenous cartilage or bone graft from a local site (nasal), if: (a) the indication for surgery is: (i) airway obstruction and the patient has a self‑reported NOSE Scale score of greater than 45; or (ii) significant acquired, congenital or developmental deformity; and (b) photographic and/or NOSE Scale evidence demonstrating the clinical need for this service is documented in the patient notes (Anaes.)",1275.90
45644,"Rhinoplasty, total, including correction of all bony and cartilaginous elements of the external nose involving autogenous bone or cartilage graft obtained from distant donor site, including obtaining of graft, if: (a) the indication for surgery is: (i) airway obstruction and the patient has a self‑reported NOSE Scale score of greater than 45; or (ii) significant acquired, congenital or developmental deformity; and (b) photographic and/or NOSE Scale evidence demonstrating the clinical need for this service is documented in the patient notes; other than a service associated with a service to which item 45718 applies (H) (Anaes.) (Assist.)",1531.35
45645,"CHOANAL ATRESIA, repair of by puncture and dilatation (Anaes.)",267.60
45646,"Choanal atresia, correction by open operation with bone removal (H) (Anaes.) (Assist.)",1077.70
45650,"Rhinoplasty, revision of, if: (a) the indication for surgery is: (i) airway obstruction and the patient has a self‑reported NOSE Scale score of greater than 45; or (ii) significant acquired, congenital or developmental deformity; and (b) photographic and/or NOSE Scale evidence demonstrating the clinical need for this service is documented in the patient notes (H) (Anaes.)",176.85
45652,"Rhinophyma of a moderate or severe degree, carbon dioxide laser or erbium laser excision - ablation of (Anaes.)",426.55
45653,"RHINOPHYMA, shaving of (Anaes.)",426.55
45656,"COMPOSITE GRAFT (Chondrocutaneous or chondromucosal) to nose, ear or eyelid (Anaes.) (Assist.)",601.15
